Employee ID,Tools and Software Usage,System Downtime,Technical Support Requests,Survey Responses,Engagement Activity Participation,Internal Communication Metrics,Project Completion Rates,Hours Worked,Output Quality,Task Completion Time,Training Participation,Technology Utilization,Age,Gender,Tenure,Department,Job Role, Salary ,Performance Scores,Job Satisfaction Scores,Exit Reasons,,,,,,,,,,,,
50,5,3.2594,8,7,1,8,0.94,30,8,5,TRUE,4,56,Female,8,Finance,Clerk," $40,000 ",2,7,Relocation,,,,,,,,,,,,
51,7,1.3809,4,3,1,6,0.75,39,7,6,TRUE,10,35,Female,10,IT,Executive," $40,000 ",4,5,Career Change,,,,,,,,,,,,
52,8,3.3587,1,4,0,6,0.92,48,9,9,TRUE,8,38,Male,13,IT,Analyst," $40,000 ",2,2,Personal Reasons,,,,,,,,,,,,
53,7,2.8316,9,1,0,1,0.73,32,6,6,TRUE,2,57,Female,18,Marketing,Executive," $46,099 ",1,6,Personal Reasons,,,,,,,,,,,,
54,4,3.7503,5,3,0,6,0.89,33,8,10,FALSE,8,61,Male,13,HR,Assistant," $40,000 ",4,4,Relocation,,,,,,,,,,,,
55,5,3.2748,6,9,1,3,1,40,10,6,TRUE,1,25,Female,10,HR,Analyst," $40,000 ",3,10,Retirement,,,,,,,,,,,,
56,10,0.0000,1,10,1,6,0.65,44,7,8,TRUE,4,23,Male,4,Sales,Executive," $40,000 ",5,2,N/A,,,,,,,,,,,,
57,6,3.9142,0,5,0,10,0.58,30,6,5,TRUE,3,27,Female,5,Marketing,Executive," $40,000 ",2,9,Retirement,,,,,,,,,,,,
58,6,3.4278,6,8,0,6,0.63,38,8,6,TRUE,5,63,Female,16,Finance,Manager," $40,000 ",1,7,Career Change,,,,,,,,,,,,
59,9,0.0476,0,2,0,2,0.64,40,7,9,TRUE,5,25,Female,7,Finance,Clerk," $40,000 ",3,6,Retirement,,,,,,,,,,,,
60,10,0.0000,2,3,0,1,1,48,10,14,TRUE,5,50,Male,10,Marketing,Analyst," $40,000 ",5,5,Relocation,,,,,,,,,,,,
61,2,4.3498,3,7,2,3,0.86,42,8,7,TRUE,4,39,Male,11,Finance,Manager," $40,000 ",3,3,Career Change,,,,,,,,,,,,
62,6,0.0000,1,10,2,5,0.8,45,9,10,TRUE,8,47,Male,15,HR,Assistant," $40,000 ",5,10,Higher Salary,,,,,,,,,,,,
63,3,2.8826,6,4,0,4,0.5,33,3,2,FALSE,3,55,Male,19,Finance,Clerk," $44,780 ",4,10,Retirement,,,,,,,,,,,,
64,2,2.7772,4,9,1,7,0.7,30,4,5,FALSE,4,31,Female,9,Finance,Analyst," $40,000 ",3,4,Retirement,,,,,,,,,,,,
65,6,2.0508,0,7,2,4,1,49,10,12,TRUE,1,57,Female,13,Marketing,Executive," $40,000 ",3,3,N/A,,,,,,,,,,,,
66,4,3.5436,7,1,0,8,0.5,42,5,8,FALSE,7,35,Male,10,Marketing,Analyst," $40,000 ",3,8,Career Change,,,,,,,,,,,,
67,5,3.0321,9,4,0,7,0.54,30,6,7,FALSE,1,52,Male,12,Finance,Executive," $40,000 ",4,3,Personal Reasons,,,,,,,,,,,,
68,5,1.5723,6,10,4,10,0.59,34,6,5,FALSE,2,36,Male,7,IT,Clerk," $40,000 ",1,7,Retirement,,,,,,,,,,,,
69,3,2.7273,3,6,1,9,0.83,34,8,7,FALSE,7,29,Female,4,Marketing,Executive," $40,000 ",5,7,Relocation,,,,,,,,,,,,
70,4,3.2186,1,6,0,1,0.83,43,9,11,FALSE,1,35,Male,4,Sales,Assistant," $40,000 ",3,7,Retirement,,,,,,,,,,,,
71,3,3.0284,6,10,2,5,0.67,43,7,6,FALSE,3,44,Male,11,Sales,Executive," $40,000 ",4,7,N/A,,,,,,,,,,,,
72,7,0.5374,1,6,1,4,0.61,37,6,11,TRUE,6,61,Female,21,HR,Assistant," $40,000 ",1,2,Higher Salary,,,,,,,,,,,,
73,1,5.0000,5,5,0,6,0.5,33,2,3,TRUE,6,42,Female,19,Finance,Clerk," $40,000 ",5,10,N/A,,,,,,,,,,,,
74,6,2.3434,0,3,0,1,0.75,36,6,6,FALSE,6,37,Male,9,IT,Clerk," $40,000 ",4,3,Retirement,,,,,,,,,,,,
75,4,2.5534,6,2,1,6,0.7,49,7,8,TRUE,2,39,Female,14,HR,Analyst," $40,000 ",5,10,Personal Reasons,,,,,,,,,,,,
76,1,5.0000,6,3,0,1,0.84,48,9,9,FALSE,2,45,Male,12,Finance,Assistant," $40,000 ",3,9,Retirement,,,,,,,,,,,,
77,1,4.0344,3,9,0,1,0.77,44,7,7,TRUE,6,47,Female,9,Marketing,Assistant," $40,000 ",1,3,Career Change,,,,,,,,,,,,
78,5,3.6250,3,3,0,8,0.5,33,4,4,TRUE,10,46,Male,15,Sales,Manager," $40,000 ",4,2,Retirement,,,,,,,,,,,,
79,5,1.5583,9,3,1,2,1,48,10,7,TRUE,5,62,Male,19,IT,Manager," $40,000 ",1,9,Personal Reasons,,,,,,,,,,,,
80,10,0.0000,4,1,0,10,0.55,38,5,8,FALSE,7,50,Male,20,Sales,Manager," $40,000 ",3,10,Career Change,,,,,,,,,,,,
81,7,2.1972,1,2,0,6,0.56,42,6,7,TRUE,7,36,Male,6,Marketing,Executive," $40,000 ",1,9,Relocation,,,,,,,,,,,,
82,4,4.3496,8,3,2,6,0.65,43,7,7,TRUE,5,22,Female,14,Finance,Manager," $40,000 ",1,4,Career Change,,,,,,,,,,,,
83,9,0.6799,9,2,0,6,0.51,43,7,9,FALSE,8,46,Female,18,Marketing,Assistant," $40,000 ",2,9,N/A,,,,,,,,,,,,
84,4,3.2653,3,8,0,8,0.57,39,6,4,FALSE,10,28,Female,8,Marketing,Executive," $40,000 ",1,3,Higher Salary,,,,,,,,,,,,
85,7,0.8393,8,6,1,4,0.62,45,8,9,TRUE,6,30,Female,8,Sales,Clerk," $40,000 ",5,7,N/A,,,,,,,,,,,,
86,5,2.2659,2,7,1,3,0.64,34,7,6,FALSE,5,45,Male,11,IT,Analyst," $40,000 ",4,7,Career Change,,,,,,,,,,,,
87,5,2.7963,8,1,0,6,0.86,35,8,6,TRUE,4,22,Male,6,Marketing,Manager," $40,000 ",2,8,Relocation,,,,,,,,,,,,
88,6,1.9094,0,6,0,4,0.55,31,7,7,TRUE,7,29,Female,8,Sales,Clerk," $40,000 ",4,10,Retirement,,,,,,,,,,,,
89,8,2.1222,6,2,0,2,0.5,42,4,11,FALSE,4,45,Female,15,IT,Assistant," $40,000 ",4,4,Career Change,,,,,,,,,,,,
90,5,1.6708,3,6,2,6,0.91,42,9,9,FALSE,5,32,Female,8,Finance,Analyst," $40,000 ",3,3,N/A,,,,,,,,,,,,
91,3,1.8820,6,3,0,10,0.98,48,10,9,TRUE,5,38,Female,15,Finance,Clerk," $40,000 ",3,3,Career Change,,,,,,,,,,,,
92,6,3.1976,9,7,0,5,0.75,47,8,7,FALSE,1,29,Female,9,HR,Analyst," $40,000 ",2,5,Career Change,,,,,,,,,,,,
93,2,5.0000,5,3,1,9,1,48,10,4,TRUE,1,56,Male,16,Sales,Manager," $40,000 ",3,1,Career Change,,,,,,,,,,,,
94,8,1.4021,3,9,2,6,0.85,30,8,6,FALSE,3,56,Male,19,IT,Assistant," $40,000 ",3,10,Relocation,,,,,,,,,,,,
95,8,2.2215,3,3,0,3,0.7,37,7,4,FALSE,3,54,Male,11,Marketing,Analyst," $40,000 ",3,3,Personal Reasons,,,,,,,,,,,,
96,3,4.7762,7,7,2,5,0.66,45,7,3,FALSE,2,26,Female,8,Finance,Clerk," $40,000 ",4,6,Personal Reasons,,,,,,,,,,,,
97,8,2.4020,6,4,2,10,0.99,31,9,5,FALSE,2,63,Female,18,IT,Manager," $40,000 ",2,3,Career Change,,,,,,,,,,,,
98,9,0.6936,3,8,0,8,0.57,37,7,7,FALSE,6,60,Female,13,Sales,Manager," $40,000 ",4,5,Relocation,,,,,,,,,,,,
99,5,2.9114,5,2,0,9,0.77,35,7,8,TRUE,1,62,Female,13,HR,Clerk," $40,000 ",5,9,Relocation,,,,,,,,,,,,
100,5,2.1267,5,8,3,8,0.94,45,9,11,TRUE,6,49,Male,17,Finance,Clerk," $40,000 ",4,2,Career Change,,,,,,,,,,,,
101,6,2.5630,0,9,2,3,1,40,10,9,TRUE,5,28,Male,11,IT,Analyst," $40,000 ",5,2,N/A,,,,,,,,,,,,
102,7,2.7166,1,8,0,9,0.8,46,8,11,FALSE,6,30,Female,9,IT,Executive," $40,000 ",1,6,N/A,,,,,,,,,,,,
103,3,3.5169,3,6,1,3,0.71,48,9,6,TRUE,5,29,Male,13,IT,Manager," $40,000 ",1,6,Higher Salary,,,,,,,,,,,,
104,5,3.5586,5,10,3,8,0.74,40,6,7,TRUE,7,33,Male,11,Sales,Analyst," $40,000 ",5,8,Career Change,,,,,,,,,,,,
105,1,3.9878,5,1,0,10,0.68,37,6,8,FALSE,1,55,Female,20,Sales,Clerk," $40,000 ",5,2,Higher Salary,,,,,,,,,,,,
106,10,1.6662,0,7,1,9,0.5,33,4,6,FALSE,3,54,Female,17,Sales,Analyst," $40,000 ",4,9,N/A,,,,,,,,,,,,
107,5,4.6649,7,1,0,7,0.68,40,6,7,FALSE,6,44,Female,12,Marketing,Clerk," $40,000 ",5,2,N/A,,,,,,,,,,,,
108,4,4.6098,1,7,0,4,0.5,37,3,7,TRUE,1,45,Female,10,IT,Assistant," $40,000 ",2,1,Career Change,,,,,,,,,,,,
109,1,4.9183,4,2,0,10,0.84,38,9,8,TRUE,7,58,Female,15,Finance,Clerk," $40,000 ",1,10,Higher Salary,,,,,,,,,,,,
110,7,1.7871,3,8,1,9,0.72,31,6,6,FALSE,4,56,Female,16,Sales,Clerk," $40,000 ",1,2,Higher Salary,,,,,,,,,,,,
111,1,4.3631,4,2,1,3,0.86,45,9,7,TRUE,3,61,Male,22,Sales,Clerk," $41,484 ",5,7,Career Change,,,,,,,,,,,,
112,8,1.5647,4,3,1,3,0.74,35,6,3,TRUE,10,43,Male,15,IT,Executive," $40,000 ",3,8,Higher Salary,,,,,,,,,,,,
113,10,0.8465,9,3,0,2,0.95,48,9,9,FALSE,9,48,Female,15,Sales,Clerk," $40,000 ",3,5,Retirement,,,,,,,,,,,,
114,2,2.5667,7,1,0,10,1,37,10,7,TRUE,1,56,Male,19,Marketing,Manager," $40,000 ",5,6,N/A,,,,,,,,,,,,
115,10,0.0000,9,5,0,3,0.76,43,7,8,FALSE,8,22,Female,8,Marketing,Manager," $40,000 ",2,1,Personal Reasons,,,,,,,,,,,,
116,5,1.5138,6,5,1,1,0.95,45,9,10,TRUE,1,56,Female,17,Sales,Analyst," $40,000 ",3,6,Relocation,,,,,,,,,,,,
117,6,1.6911,8,10,1,4,0.82,41,8,10,FALSE,5,58,Female,12,IT,Executive," $40,000 ",5,8,Higher Salary,,,,,,,,,,,,
118,9,0.1115,0,5,0,8,0.83,34,9,6,TRUE,10,35,Female,13,IT,Analyst," $40,000 ",2,3,Higher Salary,,,,,,,,,,,,
119,7,2.3052,5,9,3,5,1,48,10,9,TRUE,8,24,Male,5,IT,Manager," $40,000 ",2,1,Relocation,,,,,,,,,,,,
120,6,1.8556,5,6,3,2,1,47,7,10,FALSE,6,22,Female,9,HR,Manager," $40,000 ",4,4,Higher Salary,,,,,,,,,,,,
121,5,3.4399,1,6,1,3,0.57,38,5,8,FALSE,7,26,Male,11,Sales,Assistant," $40,000 ",2,1,Relocation,,,,,,,,,,,,
122,6,3.0533,7,3,1,1,0.5,31,4,5,FALSE,8,47,Female,12,IT,Clerk," $40,000 ",3,8,Career Change,,,,,,,,,,,,
123,4,4.6175,5,5,1,2,0.5,49,7,11,FALSE,6,35,Female,13,Marketing,Manager," $40,000 ",3,5,Retirement,,,,,,,,,,,,
124,1,4.0939,9,10,2,1,0.5,41,3,7,TRUE,6,60,Female,16,Finance,Analyst," $40,000 ",5,1,Retirement,,,,,,,,,,,,
125,9,0.3363,8,7,0,2,0.57,31,6,5,FALSE,6,48,Male,13,Finance,Analyst," $40,000 ",5,8,N/A,,,,,,,,,,,,
126,5,2.8029,9,3,0,3,0.59,39,7,8,FALSE,5,30,Female,9,IT,Clerk," $40,000 ",2,9,Personal Reasons,,,,,,,,,,,,
127,8,1.4338,4,2,0,1,0.69,30,6,5,FALSE,8,36,Female,11,Finance,Clerk," $40,000 ",1,10,Higher Salary,,,,,,,,,,,,
128,7,3.3301,6,5,1,9,0.5,33,6,6,FALSE,2,36,Female,10,Finance,Assistant," $40,000 ",4,2,Personal Reasons,,,,,,,,,,,,
129,8,0.7436,5,3,1,10,0.88,41,8,8,FALSE,7,47,Male,10,HR,Executive," $40,000 ",1,9,Career Change,,,,,,,,,,,,
130,1,4.8155,4,5,1,5,1,38,10,9,TRUE,4,63,Male,18,Marketing,Analyst," $40,000 ",2,8,Retirement,,,,,,,,,,,,
131,9,0.0000,5,9,1,8,0.58,33,6,8,FALSE,1,34,Male,17,Marketing,Clerk," $40,000 ",2,7,Career Change,,,,,,,,,,,,
132,1,4.3538,3,10,0,5,0.79,38,8,8,FALSE,5,53,Female,7,HR,Analyst," $40,000 ",1,3,Career Change,,,,,,,,,,,,
133,3,2.7942,2,1,0,8,0.7,35,6,1,FALSE,3,60,Male,20,HR,Clerk," $40,194 ",4,2,Higher Salary,,,,,,,,,,,,
134,8,1.0072,0,4,1,7,0.62,30,7,6,TRUE,4,53,Female,19,Finance,Manager," $40,000 ",1,7,Career Change,,,,,,,,,,,,
135,1,4.3183,0,10,1,4,0.57,39,5,8,TRUE,7,25,Male,3,Sales,Analyst," $40,000 ",5,5,Retirement,,,,,,,,,,,,
136,1,3.5689,5,5,0,7,0.5,43,4,9,TRUE,5,51,Male,13,Finance,Manager," $40,000 ",3,6,Personal Reasons,,,,,,,,,,,,
137,6,2.1924,8,2,2,6,1,47,5,7,FALSE,4,58,Female,14,HR,Analyst," $40,000 ",5,4,Retirement,,,,,,,,,,,,
138,5,2.0281,7,2,0,3,1,35,8,2,FALSE,1,44,Male,18,Marketing,Executive," $40,000 ",3,2,Higher Salary,,,,,,,,,,,,
139,6,2.4435,1,1,0,9,0.5,47,5,11,TRUE,6,60,Female,21,Finance,Assistant," $40,000 ",2,9,Retirement,,,,,,,,,,,,
140,3,3.6311,8,8,2,10,0.73,49,9,7,TRUE,10,36,Female,14,Sales,Manager," $40,000 ",4,3,Relocation,,,,,,,,,,,,
141,10,0.0000,7,2,0,9,1,45,6,11,FALSE,6,64,Male,19,Finance,Clerk," $40,000 ",1,7,Personal Reasons,,,,,,,,,,,,
142,10,0.0000,8,3,1,5,0.96,44,10,7,FALSE,7,50,Female,18,IT,Executive," $40,000 ",4,8,Relocation,,,,,,,,,,,,
143,6,2.5415,3,2,1,8,1,45,7,6,FALSE,1,57,Female,17,Finance,Analyst," $40,000 ",1,2,Relocation,,,,,,,,,,,,
144,2,3.5771,8,4,0,7,0.66,37,5,8,TRUE,4,34,Male,14,HR,Manager," $40,000 ",5,6,N/A,,,,,,,,,,,,
145,8,2.2800,1,1,0,9,0.62,42,6,9,FALSE,9,53,Male,15,Marketing,Analyst," $40,000 ",5,8,Higher Salary,,,,,,,,,,,,
146,6,2.2212,0,3,2,7,0.83,40,7,9,FALSE,10,28,Female,6,Marketing,Analyst," $40,000 ",1,7,Career Change,,,,,,,,,,,,
147,4,3.9534,8,5,0,4,0.5,36,5,8,TRUE,6,43,Male,18,HR,Analyst," $40,000 ",4,3,Relocation,,,,,,,,,,,,
148,4,2.5481,9,10,1,4,0.5,46,3,7,TRUE,2,49,Female,14,IT,Assistant," $40,000 ",1,1,Retirement,,,,,,,,,,,,
149,7,1.6889,7,1,0,8,0.72,47,8,6,TRUE,4,23,Female,4,HR,Assistant," $40,000 ",2,6,Career Change,,,,,,,,,,,,
150,3,3.2165,6,4,1,6,1,48,6,8,FALSE,6,63,Male,16,Finance,Clerk," $40,000 ",5,8,Retirement,,,,,,,,,,,,
151,3,2.7258,7,6,1,9,0.65,42,8,6,TRUE,4,27,Male,5,HR,Manager," $40,000 ",2,6,Retirement,,,,,,,,,,,,
152,6,2.4602,0,4,0,10,1,44,10,9,TRUE,10,49,Male,17,HR,Executive," $40,000 ",5,5,Career Change,,,,,,,,,,,,
153,9,0.9245,8,7,1,7,0.66,30,6,7,FALSE,7,49,Male,14,IT,Executive," $40,000 ",5,8,Career Change,,,,,,,,,,,,
154,1,4.5370,9,7,1,7,0.68,45,6,9,FALSE,3,41,Female,19,Finance,Executive," $40,000 ",3,2,Retirement,,,,,,,,,,,,
155,5,3.3605,8,6,1,4,0.5,34,6,6,TRUE,6,51,Female,18,Sales,Analyst," $45,303 ",2,1,Higher Salary,,,,,,,,,,,,
156,1,4.5112,8,9,0,3,0.5,32,3,5,FALSE,4,32,Male,10,Sales,Assistant," $40,000 ",2,1,Personal Reasons,,,,,,,,,,,,
157,1,4.4584,5,2,0,8,0.64,39,6,9,TRUE,3,49,Male,18,Marketing,Manager," $40,000 ",3,4,N/A,,,,,,,,,,,,
158,3,3.2711,3,10,3,7,0.96,48,9,5,FALSE,3,46,Female,12,HR,Analyst," $40,000 ",4,6,Personal Reasons,,,,,,,,,,,,
159,3,3.0804,1,8,0,4,0.52,34,6,4,FALSE,2,60,Female,12,Marketing,Assistant," $40,000 ",2,9,Higher Salary,,,,,,,,,,,,
160,4,4.6031,3,8,0,4,0.5,36,4,10,TRUE,3,54,Female,13,IT,Assistant," $40,000 ",1,1,N/A,,,,,,,,,,,,
161,3,4.7851,6,10,1,1,0.67,43,6,6,TRUE,10,22,Female,7,Sales,Manager," $40,000 ",3,1,Career Change,,,,,,,,,,,,
162,6,3.1672,0,4,1,7,0.59,32,6,7,TRUE,1,48,Male,13,HR,Manager," $40,000 ",2,5,N/A,,,,,,,,,,,,
163,4,2.9074,8,6,0,1,1,42,7,9,FALSE,3,34,Female,12,IT,Manager," $40,000 ",4,10,Retirement,,,,,,,,,,,,
164,8,1.2844,2,6,0,10,0.69,42,7,4,TRUE,9,62,Female,18,IT,Analyst," $40,000 ",2,5,Personal Reasons,,,,,,,,,,,,
165,1,5.0000,3,5,1,10,0.72,39,7,4,FALSE,4,24,Male,9,HR,Clerk," $40,000 ",5,5,N/A,,,,,,,,,,,,
166,8,0.0000,4,1,1,4,0.87,31,8,8,FALSE,3,60,Female,22,IT,Manager," $48,377 ",1,10,Retirement,,,,,,,,,,,,
167,1,5.0000,2,3,0,3,0.5,35,5,5,TRUE,8,27,Female,7,HR,Clerk," $40,000 ",3,6,Higher Salary,,,,,,,,,,,,
168,1,4.4696,3,7,0,3,1,37,8,5,FALSE,1,29,Male,10,HR,Analyst," $40,000 ",5,8,N/A,,,,,,,,,,,,
169,7,0.9366,4,8,1,1,0.5,33,3,5,FALSE,5,48,Male,9,Finance,Clerk," $40,000 ",4,3,Retirement,,,,,,,,,,,,
170,1,5.0000,0,2,0,4,1,41,10,6,TRUE,1,30,Male,8,Marketing,Executive," $40,000 ",5,9,Higher Salary,,,,,,,,,,,,
171,9,0.0000,8,3,0,1,0.85,44,9,9,FALSE,7,58,Female,13,IT,Clerk," $40,000 ",5,1,Career Change,,,,,,,,,,,,
172,8,2.0082,9,4,1,8,1,37,8,5,FALSE,5,54,Female,16,IT,Manager," $40,000 ",4,4,Higher Salary,,,,,,,,,,,,
173,1,4.3289,9,5,0,1,0.5,36,4,3,TRUE,2,63,Male,19,Finance,Analyst," $40,899 ",5,9,Higher Salary,,,,,,,,,,,,
174,2,5.0000,3,3,0,6,0.5,43,3,10,TRUE,1,45,Male,14,Finance,Manager," $40,000 ",3,8,Personal Reasons,,,,,,,,,,,,
175,2,2.8268,8,5,0,7,1,48,7,7,FALSE,7,36,Female,9,Finance,Executive," $40,000 ",2,10,Retirement,,,,,,,,,,,,
176,2,3.9991,3,8,2,10,0.56,43,5,7,FALSE,1,53,Male,22,Sales,Manager," $45,943 ",5,9,N/A,,,,,,,,,,,,
