Employee ID,Survey Responses,Engagement Activity Participation,Internal Communication Metrics,,
748,6,1,4,,
749,9,2,1,,
750,1,1,7,,
751,8,1,7,,
752,8,1,10,,
753,3,0,10,,
754,9,2,10,,
755,8,1,1,,
756,3,0,8,,
757,10,1,10,,
758,5,1,7,,
759,3,1,7,,
760,5,1,6,,
761,9,0,4,,
762,4,0,8,,
763,6,0,2,,
764,3,0,7,,
765,3,0,3,,
766,5,1,3,,
767,8,1,7,,
768,8,2,3,,
769,3,0,5,,
770,8,1,8,,
771,8,0,4,,
772,3,0,7,,
773,10,1,7,,
774,10,1,2,,
775,2,1,8,,
776,10,2,10,,
777,2,0,10,,
778,9,0,9,,
779,7,1,6,,
780,6,1,5,,
781,7,1,1,,
782,8,1,1,,
783,1,0,9,,
784,8,2,4,,
785,3,1,1,,
786,3,0,10,,
787,6,0,3,,
788,4,0,6,,
789,4,1,8,,
790,4,0,10,,
791,10,2,2,,
792,9,1,8,,
793,8,0,1,,
794,3,1,2,,
795,1,0,8,,
796,1,0,7,,
797,1,0,5,,
798,4,1,10,,
799,6,2,2,,
800,4,0,9,,
801,3,2,5,,
802,8,1,8,,
803,8,1,4,,
804,6,0,9,,
805,9,0,10,,
806,10,0,7,,
807,1,0,2,,
808,8,1,3,,
809,6,1,2,,
810,1,0,5,,
811,4,0,2,,
812,5,0,5,,
813,7,3,9,,
814,8,1,2,,
815,9,1,9,,
816,6,1,7,,
817,10,3,7,,
818,9,0,5,,
819,4,0,8,,
820,8,0,7,,
821,3,0,6,,
822,4,0,2,,
823,10,2,6,,
824,4,0,2,,
825,6,1,1,,
826,9,1,9,,
827,6,1,5,,
828,1,1,10,,
829,5,0,10,,
830,9,2,4,,
831,5,0,8,,
832,6,1,5,,
833,3,0,7,,
834,8,0,3,,
835,10,2,8,,
836,4,0,8,,
837,4,2,3,,
838,5,0,9,,
839,10,2,8,,
840,9,1,1,,
841,8,1,8,,
842,7,0,4,,
843,5,1,6,,
844,9,2,10,,
845,9,0,9,,
846,10,1,5,,
847,10,0,7,,
848,2,0,1,,
849,4,1,9,,
850,8,2,6,,
851,1,1,4,,
852,5,1,6,,
853,8,2,5,,
854,2,0,3,,
855,2,1,7,,
856,8,1,3,,
857,10,3,2,,
858,9,0,4,,
859,7,1,7,,
860,8,2,5,,
861,5,1,9,,
862,1,0,10,,
863,4,2,7,,
864,2,0,9,,
865,3,0,9,,
866,3,1,2,,
867,9,3,1,,
868,10,1,4,,
869,4,0,4,,
870,2,0,2,,
871,3,0,3,,
872,3,1,3,,
873,7,2,5,,
874,8,2,1,,
875,6,0,9,,
876,4,1,8,,
877,6,1,8,,
878,1,0,3,,
879,10,2,2,,
880,8,3,1,,
881,1,0,6,,
882,5,0,10,,
883,2,0,1,,
884,6,2,5,,
885,9,1,9,,
886,5,2,9,,
887,4,1,4,,
888,2,0,7,,
889,3,1,7,,
890,6,0,4,,
891,8,1,5,,
892,8,0,9,,
893,5,0,7,,
894,5,1,7,,
895,10,2,10,,
896,3,1,7,,
897,7,1,9,,
898,6,1,5,,
899,1,0,6,,
900,4,0,3,,
901,6,1,1,,
902,6,0,2,,
903,3,0,8,,
904,6,2,1,,
905,10,2,10,,
906,6,1,7,,
907,9,2,5,,
908,9,0,6,,
909,2,0,8,,
910,4,2,4,,
911,9,1,6,,
912,4,0,3,,
913,8,0,7,,
914,10,1,2,,
915,3,1,8,,
916,3,0,7,,
917,9,1,8,,
918,10,2,2,,
919,8,3,3,,
920,1,0,4,,
921,10,0,9,,
922,2,0,5,,
923,3,1,6,,
924,2,0,1,,
925,3,0,4,,
926,8,1,4,,
927,6,2,10,,
928,7,1,8,,
929,10,2,8,,
930,10,2,10,,
931,6,1,6,,
932,1,0,8,,
933,3,0,9,,
934,1,0,5,,
935,10,1,1,,
936,9,2,1,,
937,9,1,2,,
938,5,0,2,,
939,4,0,5,,
940,9,2,7,,
941,9,2,7,,
942,3,0,4,,
943,5,1,4,,
944,3,0,10,,
945,10,0,3,,
946,2,0,2,,
947,1,0,3,,
948,10,2,8,,
949,2,0,1,,
950,8,0,4,,
951,8,3,7,,
952,3,0,5,,
953,7,1,2,,
954,7,2,1,,
955,2,0,6,,
956,9,4,5,,
957,3,0,3,,
958,2,0,9,,
959,3,0,3,,
960,2,1,2,,
961,8,1,5,,
962,5,0,9,,
963,3,0,8,,
964,5,0,6,,
965,8,2,3,,
966,7,0,6,,
967,6,2,5,,
968,1,0,1,,
969,10,1,5,,
970,1,0,7,,
971,1,0,9,,
972,10,2,1,,
973,8,2,3,,
974,8,0,8,,
975,7,0,6,,
976,6,2,5,,
977,4,1,10,,
978,1,0,2,,
979,9,2,3,,
980,1,0,2,,
981,4,0,1,,
982,3,0,7,,
983,7,2,3,,
984,5,0,7,,
985,5,0,7,,
986,4,1,8,,
987,1,0,1,,
988,5,2,5,,
989,4,0,10,,
990,10,3,9,,
991,8,1,7,,
992,2,0,1,,
993,8,3,8,,
994,1,0,3,,
995,4,1,4,,
996,3,0,4,,
997,5,1,10,,
998,5,0,8,,
999,5,0,1,,
1000,4,0,8,,
