Employee ID,Project Completion Rates,Hours Worked,Output Quality,Task Completion Time,Training Participation,Technology Utilization,
99,0.77,35,7,8,TRUE,1,
100,0.94,45,9,11,TRUE,6,
101,1,40,10,9,TRUE,5,
102,0.8,46,8,11,FALSE,6,
103,0.71,48,9,6,TRUE,5,
104,0.74,40,6,7,TRUE,7,
105,0.68,37,6,8,FALSE,1,
106,0.5,33,4,6,FALSE,3,
107,0.68,40,6,7,FALSE,6,
108,0.5,37,3,7,TRUE,1,
109,0.84,38,9,8,TRUE,7,
110,0.72,31,6,6,FALSE,4,
111,0.86,45,9,7,TRUE,3,
112,0.74,35,6,3,TRUE,10,
113,0.95,48,9,9,FALSE,9,
114,1,37,10,7,TRUE,1,
115,0.76,43,7,8,FALSE,8,
116,0.95,45,9,10,TRUE,1,
117,0.82,41,8,10,FALSE,5,
118,0.83,34,9,6,TRUE,10,
119,1,48,10,9,TRUE,8,
120,1,47,7,10,FALSE,6,
121,0.57,38,5,8,FALSE,7,
122,0.5,31,4,5,FALSE,8,
123,0.5,49,7,11,FALSE,6,
124,0.5,41,3,7,TRUE,6,
125,0.57,31,6,5,FALSE,6,
126,0.59,39,7,8,FALSE,5,
127,0.69,30,6,5,FALSE,8,
128,0.5,33,6,6,FALSE,2,
129,0.88,41,8,8,FALSE,7,
130,1,38,10,9,TRUE,4,
131,0.58,33,6,8,FALSE,1,
132,0.79,38,8,8,FALSE,5,
133,0.7,35,6,1,FALSE,3,
134,0.62,30,7,6,TRUE,4,
135,0.57,39,5,8,TRUE,7,
136,0.5,43,4,9,TRUE,5,
137,1,47,5,7,FALSE,4,
138,1,35,8,2,FALSE,1,
139,0.5,47,5,11,TRUE,6,
140,0.73,49,9,7,TRUE,10,
141,1,45,6,11,FALSE,6,
142,0.96,44,10,7,FALSE,7,
143,1,45,7,6,FALSE,1,
144,0.66,37,5,8,TRUE,4,
145,0.62,42,6,9,FALSE,9,
146,0.83,40,7,9,FALSE,10,
147,0.5,36,5,8,TRUE,6,
148,0.5,46,3,7,TRUE,2,
149,0.72,47,8,6,TRUE,4,
150,1,48,6,8,FALSE,6,
151,0.65,42,8,6,TRUE,4,
152,1,44,10,9,TRUE,10,
153,0.66,30,6,7,FALSE,7,
154,0.68,45,6,9,FALSE,3,
155,0.5,34,6,6,TRUE,6,
156,0.5,32,3,5,FALSE,4,
157,0.64,39,6,9,TRUE,3,
158,0.96,48,9,5,FALSE,3,
159,0.52,34,6,4,FALSE,2,
160,0.5,36,4,10,TRUE,3,
161,0.67,43,6,6,TRUE,10,
162,0.59,32,6,7,TRUE,1,
163,1,42,7,9,FALSE,3,
164,0.69,42,7,4,TRUE,9,
165,0.72,39,7,4,FALSE,4,
166,0.87,31,8,8,FALSE,3,
167,0.5,35,5,5,TRUE,8,
168,1,37,8,5,FALSE,1,
169,0.5,33,3,5,FALSE,5,
170,1,41,10,6,TRUE,1,
171,0.85,44,9,9,FALSE,7,
172,1,37,8,5,FALSE,5,
173,0.5,36,4,3,TRUE,2,
174,0.5,43,3,10,TRUE,1,
175,1,48,7,7,FALSE,7,
176,0.56,43,5,7,FALSE,1,
177,0.86,42,9,10,FALSE,3,
178,0.8,30,8,6,FALSE,6,
179,1,48,10,11,TRUE,6,
180,0.64,30,6,7,FALSE,7,
181,0.74,33,7,5,FALSE,1,
182,0.75,39,9,9,FALSE,7,
183,0.84,32,7,6,FALSE,2,
184,0.81,49,7,8,TRUE,6,
185,1,38,4,8,FALSE,8,
186,0.7,32,6,3,TRUE,5,
187,0.83,35,8,8,TRUE,10,
188,0.8,35,8,8,TRUE,3,
189,1,41,10,8,TRUE,8,
190,0.75,30,8,2,TRUE,8,
191,0.83,45,9,11,FALSE,4,
192,0.62,34,6,7,TRUE,8,
193,0.85,38,8,7,TRUE,5,
194,1,39,10,7,TRUE,5,
195,0.58,42,6,7,FALSE,3,
196,0.92,44,10,8,TRUE,7,
197,0.85,41,6,9,FALSE,9,
198,0.89,34,10,5,TRUE,9,
199,0.71,34,7,6,TRUE,1,
200,0.88,47,8,9,FALSE,1,
201,1,41,5,7,FALSE,10,
202,0.54,32,6,5,FALSE,5,
203,0.5,36,6,6,TRUE,1,
204,0.5,46,5,9,FALSE,4,
205,0.79,48,7,7,FALSE,1,
206,0.96,47,9,9,FALSE,2,
207,0.5,30,2,9,FALSE,2,
208,0.57,34,5,6,FALSE,4,
209,0.63,31,5,4,TRUE,8,
210,0.5,30,4,3,FALSE,2,
211,0.68,36,8,4,TRUE,9,
212,0.64,40,6,11,FALSE,9,
213,0.7,40,8,10,FALSE,2,
214,0.67,47,8,6,TRUE,1,
215,0.92,46,8,9,TRUE,10,
216,0.93,31,9,8,TRUE,10,
217,0.7,36,7,7,TRUE,9,
218,0.7,36,7,6,FALSE,2,
219,0.59,39,6,12,TRUE,8,
220,0.82,32,7,2,FALSE,3,
221,0.75,41,9,13,FALSE,1,
222,0.54,32,7,6,FALSE,1,
223,0.5,40,5,10,TRUE,10,
224,0.73,41,7,5,TRUE,2,
225,1,33,9,5,TRUE,7,
226,0.79,45,7,6,FALSE,6,
227,1,49,10,9,TRUE,2,
228,0.79,47,8,10,TRUE,4,
229,0.5,33,6,8,FALSE,2,
230,0.65,35,6,3,TRUE,1,
231,0.9,44,7,9,FALSE,3,
232,0.5,30,4,7,TRUE,4,
233,0.5,32,4,8,TRUE,10,
234,0.68,34,7,5,TRUE,5,
235,1,46,10,8,TRUE,5,
236,0.81,43,8,8,TRUE,7,
237,0.79,38,7,7,FALSE,10,
238,0.8,32,8,9,TRUE,8,
239,0.78,42,8,5,TRUE,9,
240,0.52,32,5,4,TRUE,7,
241,0.55,40,6,5,TRUE,5,
242,0.97,31,8,7,TRUE,9,
243,0.88,44,8,11,TRUE,8,
244,0.59,42,7,5,TRUE,10,
245,0.73,48,8,9,FALSE,9,
246,1,45,5,11,FALSE,10,
247,0.82,47,8,10,TRUE,8,
248,0.93,36,9,8,FALSE,6,
249,0.68,42,7,6,TRUE,4,
250,0.5,33,4,8,FALSE,9,
251,0.58,38,6,7,TRUE,9,
252,0.76,39,7,9,TRUE,10,
253,0.78,38,7,8,FALSE,10,
254,0.76,36,6,5,TRUE,9,
255,0.75,44,8,9,FALSE,10,
256,0.5,37,5,9,TRUE,3,
257,0.78,48,9,8,TRUE,3,
258,1,40,9,8,TRUE,6,
259,0.5,34,3,4,TRUE,6,
260,0.97,31,8,7,FALSE,6,
261,0.5,39,1,7,TRUE,5,
262,0.94,45,9,10,FALSE,5,
263,0.88,42,9,9,FALSE,2,
264,0.6,37,6,6,TRUE,7,
265,0.5,38,3,5,TRUE,4,
266,0.54,40,7,5,FALSE,3,
267,0.73,40,8,6,FALSE,8,
268,0.52,45,6,10,TRUE,4,
269,0.64,39,6,4,FALSE,4,
270,1,41,8,6,FALSE,8,
271,0.76,35,7,8,FALSE,1,
272,0.52,41,5,10,TRUE,9,
273,0.91,39,8,5,FALSE,7,
274,0.63,47,7,7,FALSE,2,
275,0.71,47,7,12,FALSE,6,
276,0.71,33,6,6,FALSE,8,
277,0.79,38,7,5,TRUE,5,
278,0.5,36,6,9,TRUE,6,
279,0.7,47,8,10,FALSE,10,
280,0.59,37,6,8,FALSE,8,
281,0.58,40,6,6,FALSE,6,
282,0.89,36,9,7,TRUE,9,
283,0.5,38,4,10,TRUE,9,
284,0.63,37,6,8,FALSE,9,
285,0.5,32,3,8,FALSE,6,
286,1,46,10,12,TRUE,9,
287,0.61,31,5,7,FALSE,3,
288,0.5,44,6,7,FALSE,5,
289,0.86,43,9,10,TRUE,2,
290,0.5,47,4,7,TRUE,8,
291,0.95,45,9,8,TRUE,4,
292,1,49,10,10,TRUE,6,
293,0.61,33,6,1,TRUE,6,
294,0.89,49,8,10,FALSE,5,
295,0.5,35,4,7,TRUE,1,
296,0.94,35,9,4,TRUE,7,
297,1,40,9,8,TRUE,10,
298,0.78,46,7,9,TRUE,8,
299,0.5,32,5,6,TRUE,1,
300,0.97,42,10,10,TRUE,10,
301,0.74,32,7,8,FALSE,7,
302,0.56,45,5,10,TRUE,4,
303,0.77,44,8,6,FALSE,6,
304,0.64,40,7,7,FALSE,9,
305,0.91,47,9,11,TRUE,5,
306,0.69,44,8,8,TRUE,8,
307,0.61,34,5,9,FALSE,5,
308,1,45,8,10,FALSE,2,
309,0.84,45,8,12,FALSE,4,
310,1,46,10,7,TRUE,2,
311,0.79,38,7,7,FALSE,7,
312,0.68,32,6,6,TRUE,7,
313,1,49,10,11,TRUE,3,
314,0.5,42,5,6,FALSE,7,
315,0.54,32,6,3,TRUE,1,
316,0.52,36,5,7,TRUE,1,
317,0.83,35,8,6,FALSE,9,
318,0.52,38,6,6,FALSE,6,
319,0.79,41,9,6,TRUE,5,
320,0.77,44,9,9,FALSE,6,
321,1,49,10,7,TRUE,6,
322,0.7,32,7,6,FALSE,1,
323,0.69,39,7,6,FALSE,5,
324,0.5,30,3,4,FALSE,9,
325,1,48,4,10,FALSE,4,
326,1,48,10,10,TRUE,3,
327,0.62,42,6,7,FALSE,1,
328,0.73,41,9,10,TRUE,2,
329,0.5,30,3,4,TRUE,3,
330,1,48,8,6,FALSE,4,
331,0.77,45,9,6,FALSE,7,
332,0.66,44,7,6,FALSE,6,
333,0.69,45,9,6,FALSE,8,
334,0.88,40,9,12,FALSE,9,
335,0.8,35,6,3,TRUE,6,
336,0.65,40,6,9,FALSE,7,
337,0.5,32,3,6,TRUE,4,
338,1,44,8,9,TRUE,2,
339,0.5,30,3,4,TRUE,9,
340,0.65,36,6,7,TRUE,9,
341,0.51,30,5,4,FALSE,4,
342,0.98,46,10,11,FALSE,3,
343,0.78,38,7,9,TRUE,10,
344,1,42,10,8,TRUE,6,
345,0.5,40,3,7,FALSE,3,
346,1,49,10,10,TRUE,1,
347,0.51,35,6,7,FALSE,4,
348,0.59,30,4,8,TRUE,1,
349,0.68,36,7,9,FALSE,2,
350,0.69,41,7,8,TRUE,3,
351,1,49,10,8,TRUE,8,
352,0.88,48,9,11,TRUE,10,
353,0.93,46,7,8,FALSE,4,
354,0.67,33,7,6,FALSE,4,
355,0.55,32,5,7,FALSE,10,
356,0.5,30,3,7,TRUE,9,
357,0.78,47,8,9,TRUE,7,
358,0.86,44,9,7,TRUE,2,
359,0.75,37,7,10,TRUE,3,
360,0.58,30,6,9,TRUE,4,
361,0.77,49,8,7,TRUE,4,
362,0.99,43,9,6,FALSE,10,
363,0.59,33,6,5,FALSE,8,
364,0.82,34,7,8,FALSE,10,
365,0.79,42,8,12,TRUE,10,
366,1,44,4,7,FALSE,6,
367,0.56,35,9,7,TRUE,3,
368,0.5,30,6,4,TRUE,9,
369,0.53,48,7,13,FALSE,10,
370,0.73,42,7,10,TRUE,8,
371,0.9,35,10,5,TRUE,9,
372,0.5,44,7,4,TRUE,5,
373,0.79,45,8,11,TRUE,3,
374,0.69,45,8,7,TRUE,4,
375,0.85,39,8,9,FALSE,5,
376,0.64,38,6,8,FALSE,9,
377,0.75,38,7,3,TRUE,9,
378,0.54,46,8,7,TRUE,3,
379,1,46,4,8,FALSE,7,
380,0.69,46,7,7,FALSE,6,
381,0.88,41,10,8,FALSE,4,
382,0.5,42,7,9,TRUE,5,
383,0.59,41,6,11,FALSE,10,
384,0.81,43,7,9,FALSE,2,
385,0.5,39,4,10,TRUE,7,
386,0.92,48,10,8,TRUE,4,
387,0.5,31,3,8,FALSE,2,
388,0.61,33,5,5,TRUE,6,
389,1,48,6,7,FALSE,2,
390,0.99,36,8,5,FALSE,10,
391,0.5,44,5,3,TRUE,2,
392,0.7,44,9,10,TRUE,7,
393,1,35,8,4,FALSE,1,
394,0.5,32,5,9,TRUE,7,
395,0.85,35,8,6,TRUE,10,
396,0.57,45,6,5,TRUE,5,
397,0.51,31,6,3,TRUE,1,
398,0.66,36,7,7,TRUE,6,
399,0.77,40,9,4,TRUE,7,
400,0.77,36,8,8,TRUE,1,
401,0.5,33,3,3,FALSE,9,
402,0.96,49,10,8,TRUE,7,
403,0.94,36,10,7,FALSE,1,
404,0.5,33,2,7,TRUE,3,
405,1,41,6,9,FALSE,5,
406,0.97,34,10,4,TRUE,4,
407,0.68,48,6,8,FALSE,2,
408,0.5,34,5,8,TRUE,1,
409,0.87,48,10,8,FALSE,4,
410,0.5,32,4,6,TRUE,7,
411,0.98,40,10,8,TRUE,4,
412,1,36,5,9,FALSE,9,
413,0.73,46,6,8,FALSE,8,
414,0.68,38,6,4,TRUE,8,
415,0.98,38,9,5,FALSE,5,
416,0.56,39,9,8,FALSE,1,
417,1,42,10,5,TRUE,9,
418,0.79,44,7,7,FALSE,2,
419,0.77,34,9,6,TRUE,6,
420,0.5,32,4,4,FALSE,10,
421,0.7,37,8,8,TRUE,5,
422,1,49,6,11,FALSE,10,
423,0.5,39,1,8,TRUE,8,
424,0.92,42,10,5,TRUE,3,
425,0.85,32,9,6,FALSE,6,
426,1,37,7,7,FALSE,6,
427,1,38,10,6,TRUE,10,
428,1,41,10,8,TRUE,3,
429,0.5,40,6,8,FALSE,7,
430,0.67,31,8,6,FALSE,4,
431,0.93,47,8,7,FALSE,5,
432,0.52,38,7,7,FALSE,9,
433,0.63,31,7,9,FALSE,6,
434,0.91,31,7,5,FALSE,10,
435,0.8,32,9,8,TRUE,4,
436,1,45,7,9,FALSE,8,
437,0.7,48,7,7,FALSE,9,
438,0.5,33,5,6,FALSE,10,
439,1,47,5,9,FALSE,5,
440,0.71,49,8,11,TRUE,2,
441,0.79,47,9,14,TRUE,6,
442,0.9,39,9,7,TRUE,8,
443,0.86,40,9,5,TRUE,5,
444,0.93,46,9,5,FALSE,1,
445,1,49,10,8,TRUE,8,
446,0.78,45,8,6,FALSE,9,
447,1,49,4,10,FALSE,1,
448,1,42,10,9,TRUE,8,
449,0.73,31,8,5,TRUE,10,
450,0.5,31,3,7,FALSE,2,
451,0.81,43,8,8,TRUE,4,
452,0.5,33,6,10,TRUE,2,
453,0.74,46,7,10,FALSE,2,
454,0.82,42,8,10,FALSE,10,
455,0.71,33,6,3,FALSE,3,
456,0.75,32,8,4,FALSE,8,
457,0.83,41,7,9,FALSE,4,
458,0.95,37,9,4,TRUE,7,
459,0.5,31,4,4,FALSE,10,
460,0.68,35,5,9,FALSE,3,
461,0.71,39,7,6,FALSE,10,
462,0.75,41,8,5,TRUE,3,
463,0.5,39,2,9,FALSE,2,
464,0.75,39,8,11,FALSE,6,
465,0.94,32,9,4,TRUE,6,
466,1,49,7,12,FALSE,1,
467,0.7,39,7,5,FALSE,7,
468,0.51,38,5,7,FALSE,4,
469,0.68,49,6,9,TRUE,3,
470,0.72,48,6,8,TRUE,8,
471,0.75,43,8,10,FALSE,2,
472,1,31,5,3,FALSE,9,
473,0.5,34,1,7,FALSE,8,
474,1,49,10,11,TRUE,8,
475,0.5,37,6,8,TRUE,3,
476,0.7,36,6,8,TRUE,4,
477,0.55,35,5,10,TRUE,2,
478,0.56,40,5,7,TRUE,2,
479,0.68,41,8,5,TRUE,4,
480,0.92,47,9,9,FALSE,6,
481,1,48,10,9,TRUE,5,
482,0.5,39,4,3,FALSE,1,
483,0.94,43,10,6,TRUE,10,
484,0.89,32,8,3,FALSE,1,
485,0.93,47,10,7,TRUE,6,
486,0.68,44,7,8,FALSE,3,
487,0.6,35,7,6,FALSE,3,
488,0.88,39,7,6,FALSE,7,
489,1,41,10,5,TRUE,1,
490,0.57,36,6,7,TRUE,1,
491,0.86,46,9,9,TRUE,10,
492,0.5,30,2,6,FALSE,3,
493,0.99,47,10,12,FALSE,8,
494,0.77,44,7,9,FALSE,1,
495,0.92,48,10,8,TRUE,10,
496,0.71,30,7,5,TRUE,4,
497,0.5,34,5,6,FALSE,9,
498,0.94,44,8,10,TRUE,4,
499,0.54,32,6,6,TRUE,10,
500,0.68,30,6,2,TRUE,8,
501,0.94,37,8,6,TRUE,7,
502,0.86,41,9,8,FALSE,3,
503,0.74,48,8,12,TRUE,7,
504,1,41,10,6,TRUE,7,
505,0.72,42,9,5,FALSE,10,
506,0.84,30,8,6,FALSE,3,
507,0.84,48,10,11,TRUE,2,
508,0.82,35,7,6,TRUE,9,
509,0.67,37,7,12,TRUE,1,
510,0.5,33,5,10,TRUE,7,
511,0.73,34,8,6,FALSE,4,
512,0.54,36,7,7,FALSE,2,
513,0.73,33,6,9,FALSE,2,
514,0.68,49,7,9,TRUE,8,
515,1,33,9,4,TRUE,7,
516,0.82,44,9,10,FALSE,7,
517,0.5,34,4,7,TRUE,5,
518,0.61,38,7,5,FALSE,10,
519,0.5,31,5,6,FALSE,8,
520,0.76,36,6,6,FALSE,2,
521,1,46,6,8,FALSE,2,
522,0.65,45,8,7,FALSE,5,
523,0.92,46,8,9,FALSE,1,
524,1,49,4,9,FALSE,6,
525,0.5,31,2,6,TRUE,4,
526,0.63,40,7,9,FALSE,6,
527,0.74,31,8,6,FALSE,7,
528,0.71,30,7,6,TRUE,3,
529,0.74,31,8,5,FALSE,8,
530,1,38,10,9,TRUE,7,
531,0.84,31,9,4,FALSE,1,
532,0.5,44,6,5,TRUE,6,
533,0.5,39,4,5,TRUE,7,
534,0.78,44,9,10,TRUE,4,
535,0.5,39,5,8,FALSE,2,
536,0.52,46,5,11,TRUE,10,
537,0.81,38,8,4,FALSE,9,
538,1,47,8,14,FALSE,7,
539,0.97,33,10,6,FALSE,1,
540,0.88,38,9,4,FALSE,8,
541,1,45,8,13,FALSE,3,
542,0.82,33,7,3,FALSE,4,
543,0.64,45,6,8,FALSE,5,
544,1,48,10,9,TRUE,1,
545,0.61,30,8,6,FALSE,6,
546,0.62,35,7,5,FALSE,10,
547,0.96,39,10,9,TRUE,6,
548,0.72,45,8,10,FALSE,2,
549,0.55,33,7,6,TRUE,10,
550,0.84,42,8,11,TRUE,6,
551,1,45,7,8,FALSE,8,
552,1,49,5,9,FALSE,6,
553,0.5,35,4,10,TRUE,4,
554,1,40,5,8,FALSE,4,
555,0.5,32,4,4,TRUE,9,
556,0.99,49,9,8,TRUE,6,
557,0.66,39,8,7,FALSE,8,
558,0.51,30,7,1,TRUE,8,
559,0.86,49,10,8,FALSE,7,
560,0.59,40,5,7,FALSE,3,
561,0.91,41,9,7,TRUE,10,
562,1,43,10,6,TRUE,1,
563,1,37,4,6,FALSE,5,
564,0.5,40,5,10,FALSE,10,
565,0.62,33,5,8,FALSE,10,
566,0.5,36,5,7,TRUE,2,
567,0.75,39,8,7,FALSE,10,
568,0.61,48,6,9,TRUE,2,
569,0.5,33,4,7,TRUE,7,
570,0.5,31,4,6,TRUE,3,
571,0.56,47,5,10,FALSE,8,
572,0.81,43,8,9,TRUE,9,
573,0.5,45,4,6,FALSE,8,
574,0.76,40,8,7,TRUE,6,
575,0.72,39,7,8,FALSE,5,
576,0.56,46,7,7,FALSE,3,
577,0.59,43,7,7,TRUE,3,
578,0.56,33,6,6,FALSE,7,
579,1,48,10,9,TRUE,5,
580,1,31,8,6,TRUE,6,
581,0.88,36,9,5,TRUE,6,
582,1,38,10,9,TRUE,9,
583,0.92,48,10,9,TRUE,1,
584,0.97,45,9,9,TRUE,8,
585,0.7,45,8,8,TRUE,10,
586,0.67,47,8,9,FALSE,5,
587,0.97,40,9,11,TRUE,6,
588,0.55,36,5,6,TRUE,6,
589,0.65,38,8,6,FALSE,1,
590,0.51,33,6,4,FALSE,3,
591,0.72,42,6,8,TRUE,6,
592,0.5,33,4,6,TRUE,9,
593,1,48,10,9,TRUE,6,
594,0.5,31,3,7,FALSE,6,
595,0.73,38,7,8,TRUE,1,
596,0.97,41,10,8,FALSE,9,
597,0.72,31,7,10,TRUE,4,
598,0.66,35,6,8,TRUE,2,
599,0.5,34,4,4,FALSE,1,
600,0.66,34,7,3,TRUE,3,
601,0.5,49,4,8,TRUE,3,
602,0.61,34,7,7,TRUE,5,
603,0.66,33,6,5,FALSE,1,
604,0.91,38,9,6,TRUE,7,
605,0.5,39,5,7,TRUE,1,
606,0.87,45,8,8,FALSE,4,
607,0.76,39,8,3,FALSE,6,
608,0.88,39,8,9,TRUE,1,
609,0.5,48,6,11,TRUE,7,
610,0.51,39,6,5,FALSE,10,
611,0.93,35,9,7,TRUE,7,
612,0.79,46,9,6,TRUE,3,
613,0.5,34,3,5,FALSE,4,
614,0.68,35,8,7,TRUE,6,
615,0.5,44,5,10,TRUE,7,
616,0.8,48,8,11,FALSE,4,
617,1,47,10,9,TRUE,10,
618,0.86,33,9,9,TRUE,9,
619,0.5,37,2,6,TRUE,9,
620,1,45,8,8,FALSE,9,
621,1,48,10,4,TRUE,10,
622,0.74,49,8,9,FALSE,6,
623,0.71,32,6,7,FALSE,2,
624,0.5,39,1,8,TRUE,2,
625,0.5,31,1,4,FALSE,4,
626,0.86,33,8,8,TRUE,9,
627,0.59,35,5,6,TRUE,3,
628,0.69,40,7,9,TRUE,6,
629,0.9,43,9,9,FALSE,2,
630,0.59,45,8,11,TRUE,1,
631,0.72,48,8,10,TRUE,5,
632,0.68,31,6,7,TRUE,8,
633,0.52,46,6,9,FALSE,10,
634,0.88,38,9,6,FALSE,10,
635,0.71,46,8,10,TRUE,2,
636,0.62,44,6,11,TRUE,10,
637,0.5,36,4,5,TRUE,9,
638,0.94,48,9,9,TRUE,8,
639,0.5,32,5,6,FALSE,3,
640,0.5,30,2,7,FALSE,1,
641,0.66,33,5,7,FALSE,4,
642,0.77,47,7,11,FALSE,8,
643,0.91,37,9,11,FALSE,3,
644,0.71,48,9,8,FALSE,10,
645,0.98,35,10,8,FALSE,2,
646,0.56,30,4,6,TRUE,7,
647,0.73,37,6,7,TRUE,4,
648,0.65,30,6,7,TRUE,6,
649,0.93,48,10,9,TRUE,5,
650,0.91,40,9,8,TRUE,2,
651,0.78,44,7,6,TRUE,10,
652,0.69,40,6,6,FALSE,2,
653,0.83,48,8,11,TRUE,9,
654,1,39,7,9,FALSE,10,
655,0.59,41,6,8,TRUE,2,
656,0.5,30,4,5,FALSE,8,
657,0.75,36,8,8,FALSE,8,
658,1,46,10,11,TRUE,1,
659,0.9,39,8,6,TRUE,1,
660,0.77,35,7,4,TRUE,4,
661,0.58,46,7,10,TRUE,2,
662,0.68,47,8,11,TRUE,1,
663,1,34,7,7,FALSE,9,
664,1,47,10,12,TRUE,3,
665,0.62,46,6,12,FALSE,1,
666,1,45,7,8,FALSE,2,
667,1,37,7,7,FALSE,8,
668,0.76,42,8,7,TRUE,5,
669,1,45,9,6,TRUE,7,
670,1,40,10,6,TRUE,6,
671,0.5,35,5,8,TRUE,1,
672,1,32,10,7,TRUE,6,
673,0.74,30,8,7,TRUE,7,
674,1,47,7,14,FALSE,4,
675,0.72,34,6,7,TRUE,8,
676,0.94,42,9,6,FALSE,8,
677,0.5,39,4,9,FALSE,7,
678,0.91,34,10,5,TRUE,2,
679,1,43,10,12,TRUE,6,
680,1,46,10,5,TRUE,6,
681,0.59,30,6,4,TRUE,7,
682,0.74,31,5,7,TRUE,6,
683,0.5,36,5,9,TRUE,2,
684,0.77,39,9,6,FALSE,8,
685,0.62,49,8,8,FALSE,4,
686,0.84,36,6,7,FALSE,9,
687,1,45,6,12,FALSE,8,
688,0.5,34,5,3,FALSE,3,
689,0.98,41,10,7,FALSE,3,
690,0.83,46,9,9,TRUE,8,
691,0.5,45,5,7,TRUE,2,
692,0.88,49,8,8,TRUE,9,
693,1,45,8,8,FALSE,4,
694,0.77,48,7,10,FALSE,6,
695,1,44,5,8,FALSE,3,
696,0.81,41,8,11,TRUE,3,
697,0.5,39,7,8,TRUE,3,
698,1,31,10,6,TRUE,10,
699,0.5,36,4,9,FALSE,2,
700,0.52,42,6,9,FALSE,8,
701,0.55,32,6,5,FALSE,9,
702,1,44,10,8,TRUE,8,
703,0.5,30,5,3,FALSE,10,
704,0.53,32,6,10,TRUE,3,
705,0.66,39,7,9,TRUE,7,
